family_id,pair_i,pair_j,p_i,p_j,delta_p,delta_p_abs,delta_p2,sum_p,mean_p,delta_p2_bucket
F1,0,1,-4.0,-2.0,-2.0,2.0,12.0,-6.0,-3.0,positive
F1,0,2,-4.0,-1.0,-3.0,3.0,15.0,-5.0,-2.5,positive
F1,0,3,-4.0,0.0,-4.0,4.0,16.0,-4.0,-2.0,positive
F1,0,4,-4.0,1.0,-5.0,5.0,15.0,-3.0,-1.5,positive
F1,0,5,-4.0,2.0,-6.0,6.0,12.0,-2.0,-1.0,positive
F1,0,6,-4.0,4.0,-8.0,8.0,0.0,0.0,0.0,zero
F1,1,2,-2.0,-1.0,-1.0,1.0,3.0,-3.0,-1.5,positive
F1,1,3,-2.0,0.0,-2.0,2.0,4.0,-2.0,-1.0,positive
F1,1,4,-2.0,1.0,-3.0,3.0,3.0,-1.0,-0.5,positive
F1,1,5,-2.0,2.0,-4.0,4.0,0.0,0.0,0.0,zero
F1,1,6,-2.0,4.0,-6.0,6.0,-12.0,2.0,1.0,large_negative
F1,2,3,-1.0,0.0,-1.0,1.0,1.0,-1.0,-0.5,positive
F1,2,4,-1.0,1.0,-2.0,2.0,0.0,0.0,0.0,zero
F1,2,5,-1.0,2.0,-3.0,3.0,-3.0,1.0,0.5,compact_negative
F1,2,6,-1.0,4.0,-5.0,5.0,-15.0,3.0,1.5,large_negative
F1,3,4,0.0,1.0,-1.0,1.0,-1.0,1.0,0.5,compact_negative
F1,3,5,0.0,2.0,-2.0,2.0,-4.0,2.0,1.0,compact_negative
F1,3,6,0.0,4.0,-4.0,4.0,-16.0,4.0,2.0,large_negative
F1,4,5,1.0,2.0,-1.0,1.0,-3.0,3.0,1.5,compact_negative
F1,4,6,1.0,4.0,-3.0,3.0,-15.0,5.0,2.5,large_negative
F1,5,6,2.0,4.0,-2.0,2.0,-12.0,6.0,3.0,large_negative
F2,0,1,-3.0,-2.0,-1.0,1.0,5.0,-5.0,-2.5,positive
F2,0,2,-3.0,-0.5,-2.5,2.5,8.75,-3.5,-1.75,positive
F2,0,3,-3.0,0.0,-3.0,3.0,9.0,-3.0,-1.5,positive
F2,0,4,-3.0,1.0,-4.0,4.0,8.0,-2.0,-1.0,positive
F2,0,5,-3.0,2.5,-5.5,5.5,2.75,-0.5,-0.25,positive
F2,0,6,-3.0,4.0,-7.0,7.0,-7.0,1.0,0.5,compact_negative
F2,1,2,-2.0,-0.5,-1.5,1.5,3.75,-2.5,-1.25,positive
F2,1,3,-2.0,0.0,-2.0,2.0,4.0,-2.0,-1.0,positive
F2,1,4,-2.0,1.0,-3.0,3.0,3.0,-1.0,-0.5,positive
F2,1,5,-2.0,2.5,-4.5,4.5,-2.25,0.5,0.25,compact_negative
F2,1,6,-2.0,4.0,-6.0,6.0,-12.0,2.0,1.0,large_negative
F2,2,3,-0.5,0.0,-0.5,0.5,0.25,-0.5,-0.25,positive
F2,2,4,-0.5,1.0,-1.5,1.5,-0.75,0.5,0.25,compact_negative
F2,2,5,-0.5,2.5,-3.0,3.0,-6.0,2.0,1.0,compact_negative
F2,2,6,-0.5,4.0,-4.5,4.5,-15.75,3.5,1.75,large_negative
F2,3,4,0.0,1.0,-1.0,1.0,-1.0,1.0,0.5,compact_negative
F2,3,5,0.0,2.5,-2.5,2.5,-6.25,2.5,1.25,compact_negative
F2,3,6,0.0,4.0,-4.0,4.0,-16.0,4.0,2.0,large_negative
F2,4,5,1.0,2.5,-1.5,1.5,-5.25,3.5,1.75,compact_negative
F2,4,6,1.0,4.0,-3.0,3.0,-15.0,5.0,2.5,large_negative
F2,5,6,2.5,4.0,-1.5,1.5,-9.75,6.5,3.25,compact_negative
F3,0,1,-5.0,-2.0,-3.0,3.0,21.0,-7.0,-3.5,positive
F3,0,2,-5.0,-1.0,-4.0,4.0,24.0,-6.0,-3.0,positive
F3,0,3,-5.0,0.0,-5.0,5.0,25.0,-5.0,-2.5,positive
F3,0,4,-5.0,1.0,-6.0,6.0,24.0,-4.0,-2.0,positive
F3,0,5,-5.0,3.0,-8.0,8.0,16.0,-2.0,-1.0,positive
F3,0,6,-5.0,7.0,-12.0,12.0,-24.0,2.0,1.0,large_negative
F3,1,2,-2.0,-1.0,-1.0,1.0,3.0,-3.0,-1.5,positive
F3,1,3,-2.0,0.0,-2.0,2.0,4.0,-2.0,-1.0,positive
F3,1,4,-2.0,1.0,-3.0,3.0,3.0,-1.0,-0.5,positive
F3,1,5,-2.0,3.0,-5.0,5.0,-5.0,1.0,0.5,compact_negative
F3,1,6,-2.0,7.0,-9.0,9.0,-45.0,5.0,2.5,large_negative
F3,2,3,-1.0,0.0,-1.0,1.0,1.0,-1.0,-0.5,positive
F3,2,4,-1.0,1.0,-2.0,2.0,0.0,0.0,0.0,zero
F3,2,5,-1.0,3.0,-4.0,4.0,-8.0,2.0,1.0,compact_negative
F3,2,6,-1.0,7.0,-8.0,8.0,-48.0,6.0,3.0,large_negative
F3,3,4,0.0,1.0,-1.0,1.0,-1.0,1.0,0.5,compact_negative
F3,3,5,0.0,3.0,-3.0,3.0,-9.0,3.0,1.5,compact_negative
F3,3,6,0.0,7.0,-7.0,7.0,-49.0,7.0,3.5,large_negative
F3,4,5,1.0,3.0,-2.0,2.0,-8.0,4.0,2.0,compact_negative
F3,4,6,1.0,7.0,-6.0,6.0,-48.0,8.0,4.0,large_negative
F3,5,6,3.0,7.0,-4.0,4.0,-40.0,10.0,5.0,large_negative
F4,0,1,-3.0,-2.2,-0.7999999999999998,0.7999999999999998,4.159999999999999,-5.2,-2.6,positive
F4,0,2,-3.0,-0.6,-2.4,2.4,8.64,-3.6,-1.8,positive
F4,0,3,-3.0,0.0,-3.0,3.0,9.0,-3.0,-1.5,positive
F4,0,4,-3.0,1.4,-4.4,4.4,7.04,-1.6,-0.8,positive
F4,0,5,-3.0,2.1,-5.1,5.1,4.59,-0.8999999999999999,-0.44999999999999996,positive
F4,0,6,-3.0,5.2,-8.2,8.2,-18.040000000000003,2.2,1.1,large_negative
F4,1,2,-2.2,-0.6,-1.6,1.6,4.48,-2.8000000000000003,-1.4000000000000001,positive
F4,1,3,-2.2,0.0,-2.2,2.2,4.840000000000001,-2.2,-1.1,positive
F4,1,4,-2.2,1.4,-3.6,3.6,2.880000000000001,-0.8000000000000003,-0.40000000000000013,positive
F4,1,5,-2.2,2.1,-4.300000000000001,4.300000000000001,0.4300000000000006,-0.10000000000000009,-0.050000000000000044,positive
F4,1,6,-2.2,5.2,-7.4,7.4,-22.200000000000003,3.0,1.5,large_negative
F4,2,3,-0.6,0.0,-0.6,0.6,0.36,-0.6,-0.3,positive
F4,2,4,-0.6,1.4,-2.0,2.0,-1.5999999999999996,0.7999999999999999,0.39999999999999997,compact_negative
F4,2,5,-0.6,2.1,-2.7,2.7,-4.05,1.5,0.75,compact_negative
F4,2,6,-0.6,5.2,-5.8,5.8,-26.680000000000003,4.6000000000000005,2.3000000000000003,large_negative
F4,3,4,0.0,1.4,-1.4,1.4,-1.9599999999999997,1.4,0.7,compact_negative
F4,3,5,0.0,2.1,-2.1,2.1,-4.41,2.1,1.05,compact_negative
F4,3,6,0.0,5.2,-5.2,5.2,-27.040000000000003,5.2,2.6,large_negative
F4,4,5,1.4,2.1,-0.7000000000000002,0.7000000000000002,-2.45,3.5,1.75,compact_negative
F4,4,6,1.4,5.2,-3.8000000000000003,3.8000000000000003,-25.080000000000002,6.6,3.3,large_negative
F4,5,6,2.1,5.2,-3.1,3.1,-22.630000000000003,7.300000000000001,3.6500000000000004,large_negative
F5,0,1,-3.0,-2.0,-1.0,1.0,5.0,-5.0,-2.5,positive
F5,0,2,-3.0,-1.0,-2.0,2.0,8.0,-4.0,-2.0,positive
F5,0,3,-3.0,0.0,-3.0,3.0,9.0,-3.0,-1.5,positive
F5,0,4,-3.0,1.0,-4.0,4.0,8.0,-2.0,-1.0,positive
F5,0,5,-3.0,2.0,-5.0,5.0,5.0,-1.0,-0.5,positive
F5,0,6,-3.0,3.2,-6.2,6.2,-1.240000000000002,0.20000000000000018,0.10000000000000009,compact_negative
F5,1,2,-2.0,-1.0,-1.0,1.0,3.0,-3.0,-1.5,positive
F5,1,3,-2.0,0.0,-2.0,2.0,4.0,-2.0,-1.0,positive
F5,1,4,-2.0,1.0,-3.0,3.0,3.0,-1.0,-0.5,positive
F5,1,5,-2.0,2.0,-4.0,4.0,0.0,0.0,0.0,zero
F5,1,6,-2.0,3.2,-5.2,5.2,-6.240000000000002,1.2000000000000002,0.6000000000000001,compact_negative
F5,2,3,-1.0,0.0,-1.0,1.0,1.0,-1.0,-0.5,positive
F5,2,4,-1.0,1.0,-2.0,2.0,0.0,0.0,0.0,zero
F5,2,5,-1.0,2.0,-3.0,3.0,-3.0,1.0,0.5,compact_negative
F5,2,6,-1.0,3.2,-4.2,4.2,-9.240000000000002,2.2,1.1,compact_negative
F5,3,4,0.0,1.0,-1.0,1.0,-1.0,1.0,0.5,compact_negative
F5,3,5,0.0,2.0,-2.0,2.0,-4.0,2.0,1.0,compact_negative
F5,3,6,0.0,3.2,-3.2,3.2,-10.240000000000002,3.2,1.6,large_negative
F5,4,5,1.0,2.0,-1.0,1.0,-3.0,3.0,1.5,compact_negative
F5,4,6,1.0,3.2,-2.2,2.2,-9.240000000000002,4.2,2.1,compact_negative
F5,5,6,2.0,3.2,-1.2000000000000002,1.2000000000000002,-6.240000000000002,5.2,2.6,compact_negative
